log(chl);log(rrs443);log(rrs490);log(rrs510);log(rrs560);DOY
-0.606424797;-2.47497088;-2.509398707;-2.588621243;-2.825382919;236
0.051152522;-2.406180145;-2.272221897;-2.296317245;-2.405323869;241
-0.529442515;-2.318125788;-2.321662751;-2.415248708;-2.61619271;227
0.939519253;-3.083029417;-3.017421703;-2.926154129;-2.716870714;204
0.378397901;-2.733833005;-2.680219798;-2.659626489;-2.650267625;148
-0.179581776;-2.485409351;-2.53644428;-2.619202133;-2.853719678;144
-0.507588863;-2.409729318;-2.502971333;-2.599676534;-2.855886482;180
0.508058136;-2.735265031;-2.684517303;-2.622816914;-2.716729309;127
-0.175223538;-2.544734764;-2.504194748;-2.501807618;-2.610358933;208
-1.010995384;-2.426401041;-2.505947728;-2.585043022;-2.849426524;169
0.030802049;-2.292952143;-2.225368965;-2.243746559;-2.332524166;234
-0.112101512;-2.478392687;-2.481213067;-2.536933404;-2.722082191;247
-0.10818388;-2.683053276;-2.638113581;-2.672622264;-2.83852778;97
-0.01278077;-2.380038635;-2.396309907;-2.448371319;-2.619592827;184
-0.576754126;-2.032460167;-2.107206412;-2.231435077;-2.509975327;222
-0.101015021;-2.235324081;-2.212741771;-2.267298001;-2.386780373;212
-0.278807891;-2.476368493;-2.486907111;-2.532221465;-2.71524812;246
0.699837746;-2.300080191;-2.3139983;-2.365620885;-2.538593924;190
0.289254408;-2.424795985;-2.500496982;-2.601514166;-2.859130405;137
-0.060730414;-2.612028182;-2.646663022;-2.652706291;-2.81098298;245
1.068185862;-2.473848699;-2.428520135;-2.450375062;-2.513907878;172
0.25163822;-2.405014098;-2.391903017;-2.448367295;-2.620009943;186
-0.102372898;-2.450714538;-2.402600915;-2.430758974;-2.568240404;181
0.740362689;-3.359678596;-3.358726227;-3.240079205;-3.016236186;185
-0.331614083;-2.387668151;-2.381177353;-2.480566199;-2.645810667;96
0.370883017;-2.942791249;-2.966530807;-2.920288153;-2.972877182;99
0.311753861;-2.772023619;-3.167419562;-3.144928089;-3.082773957;145
0.232818293;-2.64457032;-2.69629454;-2.666651486;-2.717748226;239
-0.162569401;-2.552099804;-2.587449411;-2.611289011;-2.775315983;106
-1.15490196;-2.398110177;-2.455284843;-2.545144168;-2.788738456;228
-0.305833704;-2.360168304;-2.443205819;-2.539434993;-2.798938969;125
-0.214670165;-2.323774217;-2.432409418;-2.548684331;-2.848025562;151
-0.001740662;-2.410763383;-2.444595245;-2.537894276;-2.717054722;183
0.423245874;-3.359345675;-3.3855985;-3.222459362;-2.998424635;205
-0.262409834;-2.374508208;-2.389190733;-2.442466934;-2.599598623;209
0.093071306;-2.6547808;-2.608745645;-2.599702623;-2.681923094;228
-0.102647866;-2.746989293;-2.707030145;-2.78948886;-3.06406671;123
-0.5551748;-2.420678373;-2.489098184;-2.571132871;-2.842194003;94
0.106530854;-2.505581986;-2.535291274;-2.578446579;-2.713418694;215
-0.118330092;-2.083250989;-2.091763404;-2.137068479;-2.331050053;250
0.30427505;-2.420419198;-2.477690771;-2.542150033;-2.820161072;108
-0.252588192;-2.561061509;-2.526144438;-2.56285486;-2.718540279;220
-0.424812155;-2.336036881;-2.270063646;-2.314619279;-2.424509871;195
-0.904830649;-2.090506017;-2.169626607;-2.279707037;-2.550252314;168
-0.397940009;-2.263879861;-2.359058177;-2.477519772;-2.778788741;170
0.010299957;-2.098728678;-2.052828453;-2.096205724;-2.274673426;243
-0.477555766;-2.459725848;-2.46586927;-2.525531248;-2.728465063;220
-1.167491087;-2.541483922;-2.618262005;-2.653239723;-2.84594139;99
-0.698970004;-2.304905684;-2.331614177;-2.418448087;-2.641764299;172
-0.356547324;-2.312696984;-2.344236996;-2.420196632;-2.620873858;181
0.568201724;-3.464445128;-3.261305833;-3.119420761;-2.853060902;192
-0.208540943;-2.195851296;-2.176979278;-2.239544041;-2.418388789;115
-0.280254507;-2.260186843;-2.266059531;-2.318132202;-2.52484926;242
0.407220893;-2.666068118;-2.653040806;-2.653411162;-2.749050384;170
-0.078053546;-2.42926844;-2.428462824;-2.473648056;-2.606964007;179
0.238798563;-2.42168325;-2.369858528;-2.396874148;-2.484951172;196
0.117271296;-2.807959148;-2.750298397;-2.729215921;-2.796406919;264
-0.514278574;-2.753935685;-2.681222546;-2.671402488;-2.742173646;169
-0.611721137;-2.308802476;-2.406328335;-2.542658963;-2.904556205;116
0.039136399;-2.296031135;-2.272473708;-2.315127002;-2.481891064;238
-0.235823868;-2.384751064;-2.381002621;-2.410271398;-2.554638696;235
-0.086257154;-2.362293978;-2.394474091;-2.474650516;-2.706382911;171
-0.316727764;-2.326913723;-2.346452919;-2.4073257;-2.597031423;247
0.034227261;-2.238683083;-2.327858253;-2.400150974;-2.650199691;96
0.146128036;-3.142437147;-3.050018487;-2.940855176;-2.74616691;214
-0.615288257;-2.303011679;-2.390888919;-2.514385883;-2.84280685;116
-0.844663963;-2.583008538;-2.550678994;-2.622121564;-2.847360081;205
-0.627548299;-2.198315016;-2.261657682;-2.378672053;-2.646962089;185
0.230831953;-2.755910248;-2.696705427;-2.695860755;-2.783263949;233
-0.215382707;-2.316652033;-2.308969282;-2.394343888;-2.567909;96
0.196176185;-2.55700675;-2.568246993;-2.603118701;-2.818007577;141
0.146128036;-3.28149499;-3.368801859;-3.245280226;-3.00617286;215
-0.122916743;-2.022186528;-1.989911007;-2.04065652;-2.192364189;242
0.158513263;-2.262204933;-2.177973351;-2.167870047;-2.208191707;246
-0.081969663;-2.596037627;-2.616260552;-2.685329025;-2.892898957;248
-0.214670158;-2.280193818;-2.32971007;-2.430611575;-2.690443499;205
-0.124360063;-2.353967592;-2.41212399;-2.510821561;-2.77403899;166
-0.254925208;-2.228337424;-2.219289624;-2.256657322;-2.413161867;218
0.422343571;-2.836199287;-2.848837079;-2.826740578;-2.933810535;107
-0.276134036;-2.463345872;-2.540530613;-2.595081314;-2.813393104;237
0.109409791;-2.649212551;-2.683382681;-2.702180201;-2.858149042;99
0.183412212;-2.404538942;-2.474017352;-2.540670701;-2.761534616;92
-0.065627816;-2.182636621;-2.131106281;-2.15368782;-2.279276976;250
-0.042153366;-2.438453573;-2.424076557;-2.453770956;-2.582322253;153
0.123688342;-2.633057508;-2.646922022;-2.661369226;-2.780342661;155
-0.652669985;-2.6168957;-2.48727359;-2.454349049;-2.495220551;251
0.104316365;-2.697176386;-2.683033599;-2.703172747;-2.852866806;235
-0.81168474;-2.37309193;-2.42381719;-2.488240397;-2.691883343;183
0.25995206;-2.716119194;-2.708888783;-2.727919481;-2.849600657;169
0.090963077;-2.406694767;-2.442368302;-2.509601967;-2.701325698;180
-0.66756154;-2.343831818;-2.271920763;-2.336107688;-2.511040421;208
-0.416234632;-2.760197681;-2.631155679;-2.693379637;-2.943266996;117
-0.170374647;-2.699047316;-2.680644267;-2.687310977;-2.808195043;129
0.549775472;-2.718148838;-2.587079697;-2.590081241;-2.665446533;117
-0.30980392;-2.437702257;-2.410164737;-2.436727331;-2.555171526;156
-0.299296283;-1.823103206;-1.81921349;-1.861067384;-1.992497382;241
-0.40560745;-2.421231896;-2.473891891;-2.531127993;-2.709163686;227
-0.523603173;-2.382019198;-2.423211223;-2.510176187;-2.751582116;227
-0.180620601;-2.904384723;-2.829994829;-2.827830704;-2.930175082;239
-0.372890289;-2.506522431;-2.530007538;-2.551944527;-2.701399499;156
0.247973266;-2.730841407;-2.662550723;-2.665501414;-2.800716661;148
-0.19739729;-2.424899716;-2.344039394;-2.336960252;-2.402840994;265
-0.638272164;-2.550729927;-2.576021361;-2.628868754;-2.818389622;144
-0.768275617;-2.348296915;-2.42169231;-2.540107457;-2.833114811;179
0.311753861;-2.790062424;-2.787524737;-2.773467628;-2.841974217;92
-0.102785409;-1.937069104;-1.932256862;-1.997201409;-2.198941393;255
-0.27572413;-2.499339458;-2.560770444;-2.643836797;-2.874736099;221
0.118430077;-3.059319689;-2.917819833;-2.870932677;-2.914498927;92
-0.632644079;-2.317864224;-2.379782197;-2.502070966;-2.816383429;97
-0.020110333;-2.770133423;-2.726697027;-2.737395866;-2.88515192;157
-0.049878652;-2.883197398;-2.808009108;-2.807815441;-2.904912283;260
0.325977792;-2.921723027;-2.632910702;-2.576527533;-2.550566498;241
-0.215382707;-2.517980129;-2.509186984;-2.555432335;-2.711395344;223
0.095692283;-2.641546976;-2.618297169;-2.642860373;-2.782667427;253
0.714078165;-2.570647649;-2.689166122;-2.557458149;-2.470909874;155
-0.262807357;-2.529074659;-2.492720018;-2.517634295;-2.636325231;205
0.492271358;-2.4883063;-2.61964456;-2.622353224;-2.770140586;107
-0.162411562;-2.356223697;-2.358637353;-2.455182142;-2.716864151;159
-0.140111496;-1.98636929;-1.954808816;-2.001000594;-2.156630163;252
0.176380692;-2.77272688;-2.734729001;-2.746286027;-2.88022795;101
-1.167491087;-2.346039793;-2.346208138;-2.401922562;-2.587956979;201
-0.633577043;-2.304307882;-2.415454057;-2.544523967;-2.847815042;210
0.041392685;-3.341694719;-3.312474606;-3.28246846;-3.092930619;199
-0.179798541;-2.438233248;-2.432104268;-2.466515067;-2.628425141;255
-1.71219827;-2.333053178;-2.385048817;-2.466778337;-2.678469297;201
0.401228167;-2.077601657;-2.033227942;-2.065826482;-2.217791903;241
0.645225712;-2.739636635;-2.683525369;-2.639113432;-2.583310242;163
0.134495856;-2.70672365;-2.678122485;-2.716685878;-2.894853071;154
0.427486109;-2.537407512;-2.533109554;-2.493330751;-2.490978494;139
-0.672641066;-2.288299966;-2.369169445;-2.47953363;-2.771634294;120
-0.333482019;-2.562003671;-2.537090734;-2.549370973;-2.691180633;143
-0.342466112;-2.485796765;-2.517285877;-2.555515664;-2.721784343;227
-0.632644079;-2.43524188;-2.444649526;-2.527302338;-2.810803152;196
-0.276955008;-2.376868916;-2.340065269;-2.383065123;-2.536307788;231
-0.377526929;-2.588610464;-2.6352967;-2.688746819;-2.894683673;252
-0.471726223;-2.544504186;-2.556021916;-2.638538676;-2.853450283;178
0.074011446;-2.52230065;-2.438448329;-2.430136702;-2.496784219;249
-0.238448011;-2.333396667;-2.302088618;-2.330400502;-2.486291631;146
0.71349055;-2.654870053;-2.605079954;-2.615892032;-2.682731232;188
-0.300162274;-2.609224163;-2.681685139;-2.752169804;-2.988934765;147
-0.304518324;-2.445404369;-2.505809912;-2.595645982;-2.825743306;210
-0.496209317;-2.238039703;-2.313718639;-2.451382867;-2.747728439;185
-0.188424994;-2.633726877;-2.665882555;-2.694903907;-2.920003769;248
0.130333768;-3.415383863;-3.485788391;-3.32542726;-3.112881412;221
-0.117760152;-2.279819851;-2.300063464;-2.364760814;-2.574964755;220
-0.958607315;-2.276578892;-2.33080152;-2.435440215;-2.6589582;189
-1.107905397;-2.299160652;-2.356979859;-2.497537919;-2.81499304;197
0.415474168;-2.884515302;-2.801590641;-2.715376866;-2.647686827;159
0.431363764;-3.431425178;-3.458997702;-3.299940416;-3.115122541;216
-0.262409834;-2.246088243;-2.266028118;-2.352307168;-2.602626681;250
-0.255707017;-2.597420194;-2.546863674;-2.596971154;-2.797262457;158
0.546851002;-2.890607764;-2.886755421;-2.834866414;-2.838309542;103
-0.425968732;-2.363848637;-2.407218318;-2.497248237;-2.715951388;140
0.301029996;-3.016653862;-2.916344043;-2.834839691;-2.60826871;275
-0.52651303;-2.493358748;-2.574073396;-2.656725753;-2.913561505;126
-0.329754147;-1.987933763;-2.004592672;-2.046673659;-2.231972189;230
-0.242224509;-2.355414012;-2.428076752;-2.528819958;-2.786837261;173
0.095169351;-2.383648543;-2.39425474;-2.44932547;-2.636692321;156
-0.308476478;-2.40552745;-2.48896347;-2.589429928;-2.900043611;137
-0.372890289;-2.455738676;-2.495257364;-2.588575939;-2.848687467;254
0.304167272;-2.479385478;-2.48830884;-2.541280134;-2.7292108;239
-0.417936637;-2.441559647;-2.422326937;-2.478474364;-2.66449095;206
-0.465973894;-2.300782518;-2.404184898;-2.526827003;-2.799781987;177
-0.383261993;-2.444203143;-2.485310693;-2.57438509;-2.810375236;173
0.232869105;-2.739516943;-2.653328269;-2.594335251;-2.599152503;155
-0.002176919;-2.452449143;-2.51329826;-2.571074958;-2.74192714;157
-0.254925208;-2.088252418;-2.065109396;-2.105128075;-2.247130551;230
-0.023650021;-2.680621993;-2.641711195;-2.630558702;-2.679553137;155
0.34869419;-2.995992205;-2.86920066;-2.795755176;-2.806495838;92
0.079181246;-3.445770162;-3.328273761;-3.147080445;-2.966196805;132
0.181271772;-2.301624604;-2.363158293;-2.395571215;-2.605775332;143
0.024690862;-2.21121599;-2.18287212;-2.204793418;-2.32508414;239
-0.744727471;-2.289384794;-2.355068505;-2.460555284;-2.732659282;189
-0.089909454;-2.692812785;-2.624271841;-2.637497545;-2.720276492;208
-0.364516253;-2.422361966;-2.449983585;-2.51071893;-2.722893896;229
-0.163043263;-2.338704518;-2.430985732;-2.531426866;-2.836137638;226
0.82811185;-3.201334855;-3.073948896;-2.90108298;-2.804576119;96
0.056333035;-2.488338119;-2.555631947;-2.612848033;-2.856345477;98
-0.537602002;-2.307714503;-2.355657537;-2.459386887;-2.727919017;205
-0.387216143;-2.315967817;-2.365775924;-2.463933068;-2.698568468;186
-0.268814292;-2.771379726;-2.715853625;-2.746249708;-2.882171441;259
0.62205852;-2.672920535;-2.63441562;-2.626063278;-2.679668607;103
-0.60119227;-2.294438604;-2.338845594;-2.416846472;-2.638222129;216
0.244029589;-2.611782777;-2.574195571;-2.565201715;-2.578340309;169
-0.156767222;-2.498443981;-2.568576243;-2.638908021;-2.896961927;132
-0.431504933;-2.66980018;-2.653413899;-2.655009559;-2.779151104;180
-0.739928612;-2.3982338;-2.433372803;-2.511545177;-2.748753673;197
0.380211242;-3.158570447;-3.183003486;-3.099280662;-2.912746514;215
0.010384771;-2.523192129;-2.474127452;-2.495214439;-2.619674409;242
-0.117475462;-2.572183265;-2.568251975;-2.580784669;-2.784863367;166
-0.029955757;-2.247086899;-2.233640625;-2.275678819;-2.434269622;242
-1.031517051;-2.325511245;-2.39563331;-2.524980742;-2.82545875;246
0.034026524;-2.373865638;-2.391490333;-2.508100394;-2.779773674;167
-0.005682847;-2.483972194;-2.487331343;-2.525421586;-2.665382012;220
